Record,Date/Time,10,Freq,Rcvr,Alpha,dTdG,K1,K2,K3,K4,Tnd
     1,01/31/2021 00:04:15,11, 22.000,0, 0.990540,  -650096.31,  0.11838377E+02, -0.11051387E+00,  0.45735975E-03, -0.74842385E-06, 170.26
     2,01/31/2021 00:04:15,11, 22.234,0, 0.990860,  -745374.44,  0.10179851E+03, -0.11226556E+01,  0.41349717E-02, -0.50834190E-05, 174.79
     3,01/31/2021 00:04:15,11, 22.500,0, 0.990600,  -833895.03,  0.96340562E+02, -0.10614590E+01,  0.37873326E-02, -0.43885409E-05, 190.61
     4,01/31/2021 00:04:15,11, 23.000,0, 0.991330,  -621762.79, -0.10738568E+03,  0.13356199E+01, -0.52665149E-02,  0.66821030E-05, 164.26
     5,01/31/2021 00:04:15,11, 23.034,0, 0.989980,  -563355.85, -0.94819243E+02,  0.11817776E+01, -0.46872285E-02,  0.59985918E-05, 163.44
     6,01/31/2021 00:04:15,11, 23.500,0, 0.992160,  -678088.89, -0.10039781E+03,  0.10750012E+01, -0.37321602E-02,  0.42036221E-05, 172.82
     7,01/31/2021 00:04:15,11, 23.834,0, 0.994300,  -740432.14, -0.12899751E+02,  0.45093552E-01,  0.19557269E-03, -0.68166150E-06, 174.37
     8,01/31/2021 00:04:15,11, 24.000,0, 0.991770,  -643675.95,  0.28632137E+02, -0.28328895E+00,  0.98252349E-03, -0.11935121E-05, 170.80
     9,01/31/2021 00:04:15,11, 24.500,0, 0.987040,  -597290.77, -0.19274877E+02,  0.25956774E+00, -0.10565601E-02,  0.13472031E-05, 167.65
    10,01/31/2021 00:04:15,11, 25.000,0, 0.987670,  -646601.02,  0.65126169E+02, -0.66407772E+00,  0.24182167E-02, -0.31127006E-05, 163.51
    11,01/31/2021 00:04:15,11, 25.500,0, 0.992660,  -603721.35, -0.15878365E+03,  0.16518840E+01, -0.57127049E-02,  0.65675415E-05, 156.77
    12,01/31/2021 00:04:15,11, 26.000,0, 0.995400,  -544488.58,  0.31054154E+02, -0.32830762E+00,  0.11441748E-02, -0.13149389E-05, 158.88
    13,01/31/2021 00:04:15,11, 26.234,0, 0.993920,  -497841.72, -0.98528266E+01,  0.10994922E+00, -0.34811138E-03,  0.29700766E-06, 154.07
    14,01/31/2021 00:04:15,11, 26.500,0, 0.994500,  -513657.51, -0.71112067E+01,  0.44336401E-01,  0.15894860E-04, -0.29042221E-06, 153.37
    15,01/31/2021 00:04:15,11, 27.000,0, 0.992510,  -449871.22,  0.28964801E+02, -0.32805850E+00,  0.12467493E-02, -0.15859384E-05, 149.64
    16,01/31/2021 00:04:15,11, 27.500,0, 0.994560,  -470551.51, -0.11014883E+03,  0.11743700E+01, -0.42078607E-02,  0.50622253E-05, 148.47
    17,01/31/2021 00:04:15,11, 28.000,0, 0.997520,  -459574.77, -0.25084516E+03,  0.26803324E+01, -0.93982259E-02,  0.10822074E-04, 155.69
    18,01/31/2021 00:04:15,11, 28.500,0, 0.992570,  -466735.86,  0.24351818E+03, -0.25341728E+01,  0.87995065E-02, -0.10195029E-04, 157.58
    19,01/31/2021 00:04:15,11, 29.000,0, 0.987610,  -434749.97, -0.10700639E+03,  0.11862719E+01, -0.43055094E-02,  0.51285777E-05, 154.67
    20,01/31/2021 00:04:15,11, 29.500,0, 0.978680,  -440692.27, -0.19633450E+03,  0.19963669E+01, -0.67576461E-02,  0.76143399E-05, 164.92
    21,01/31/2021 00:04:15,11, 30.000,0, 0.978030,  -465961.49, -0.61950534E+02,  0.65651415E+00, -0.22254514E-02,  0.24077204E-05, 155.20
Record,Date/Time,30,TkBB(K),Tnd(K) Ch  22.000,R Ch  22.000,Tnd(K) Ch  22.234,R Ch  22.234,Tnd(K) Ch  22.500,R Ch  22.500,Tnd(K) Ch  23.000,R Ch  23.000,Tnd(K) Ch  23.034,R Ch  23.034,Tnd(K) Ch  23.500,R Ch  23.500,Tnd(K) Ch  23.834,R Ch  23.834,Tnd(K) Ch  24.000,R Ch  24.000,Tnd(K) Ch  24.500,R Ch  24.500,Tnd(K) Ch  25.000,R Ch  25.000,Tnd(K) Ch  25.500,R Ch  25.500,Tnd(K) Ch  26.000,R Ch  26.000,Tnd(K) Ch  26.234,R Ch  26.234,Tnd(K) Ch  26.500,R Ch  26.500,Tnd(K) Ch  27.000,R Ch  27.000,Tnd(K) Ch  27.500,R Ch  27.500,Tnd(K) Ch  28.000,R Ch  28.000,Tnd(K) Ch  28.500,R Ch  28.500,Tnd(K) Ch  29.000,R Ch  29.000,Tnd(K) Ch  29.500,R Ch  29.500,Tnd(K) Ch  30.000,R Ch  30.000,DataQuality
    31,01/31/2021 00:21:50,31,283.935, 169.671, 0.984494, 174.118, 0.988931, 189.878, 0.963628, 162.436, 0.843537, 161.598, 0.857425, 172.285, 0.978416, 174.102, 0.993951, 170.315, 0.988662, 166.790, 0.978365, 162.689, 0.990325, 155.816, 0.986837, 158.004, 0.979374, 153.296, 0.979296, 152.605, 0.972924, 149.009, 0.982757, 147.288, 0.975841, 155.037, 0.985166, 156.779, 0.975924, 153.691, 0.977716, 164.294, 0.972709, 154.594, 0.975440,1
    32,01/31/2021 00:23:34,31,283.923, 169.181, 0.981304, 173.634, 0.985745, 189.513, 0.973541, 162.440, 0.843079, 161.545, 0.843401, 171.988, 0.978024, 173.502, 0.997839, 169.911, 0.992183, 166.740, 0.980162, 162.801, 0.993705, 155.846, 0.987140, 157.903, 0.981734, 153.182, 0.984890, 152.444, 0.973239, 148.949, 0.980699, 147.466, 0.986851, 154.729, 0.981121, 156.687, 0.980931, 153.767, 0.984736, 164.356, 0.980257, 154.531, 0.991673,1
    33,01/31/2021 00:25:18,31,283.916, 169.761, 0.978247, 174.146, 0.987092, 190.362, 0.961568, 162.740, 0.826638, 162.012, 0.836340, 172.507, 0.981457, 173.674, 0.996276, 170.314, 0.990684, 167.183, 0.983163, 163.073, 0.995178, 156.092, 0.987731, 158.451, 0.983200, 153.509, 0.984672, 152.754, 0.976120, 149.093, 0.986422, 147.662, 0.989203, 155.196, 0.983373, 156.939, 0.982261, 154.289, 0.981290, 164.738, 0.981485, 155.280, 0.989355,1
    34,01/31/2021 00:27:02,31,283.921, 170.071, 0.982193, 174.489, 0.991343, 190.747, 0.976950, 162.798, 0.816109, 162.209, 0.817082, 173.126, 0.985896, 173.756, 0.997531, 170.625, 0.998954, 167.319, 0.988601, 163.508, 0.996024, 156.393, 0.991702, 158.818, 0.989222, 153.661, 0.996140, 153.184, 0.981918, 149.324, 0.992759, 147.885, 0.996874, 155.588, 0.983856, 157.656, 0.994291, 154.486, 0.986629, 165.000, 0.988665, 155.564, 0.997254,1
    35,01/31/2021 00:28:46,31,283.897, 169.553, 0.975772, 173.909, 0.982851, 189.470, 0.959283, 162.239, 0.843138, 161.688, 0.848967, 172.037, 0.985776, 173.204, 0.996128, 169.741, 0.992916, 166.563, 0.979820, 162.712, 0.989072, 155.502, 0.983402, 157.696, 0.984536, 152.943, 0.985245, 152.644, 0.978291, 148.457, 0.986792, 147.485, 0.989995, 154.594, 0.984206, 156.456, 0.986115, 153.721, 0.977718, 164.147, 0.977256, 154.422, 0.986971,1
    36,01/31/2021 00:30:30,31,283.882, 169.362, 0.989622, 174.109, 0.988541, 189.687, 0.980980, 162.090, 0.830222, 161.850, 0.825559, 172.325, 0.989002, 173.549, 0.999001, 170.123, 0.998834, 166.888, 0.989850, 162.872, 0.996448, 155.888, 0.997622, 158.110, 0.992955, 153.350, 0.996017, 152.812, 0.988597, 149.144, 0.998016, 147.742, 0.999013, 155.164, 0.986020, 157.052, 0.994101, 154.194, 0.985323, 164.473, 0.990517, 155.023, 0.999865,1
    37,01/31/2021 00:32:14,31,283.865, 169.225, 0.979794, 173.777, 0.988695, 189.167, 0.974284, 161.915, 0.842414, 161.043, 0.860389, 171.742, 0.985368, 172.988, 0.998948, 169.715, 0.995756, 166.430, 0.988873, 162.223, 0.994301, 155.230, 0.989820, 157.363, 0.986199, 152.801, 0.989829, 151.991, 0.986307, 148.267, 0.991880, 147.029, 0.997807, 154.429, 0.988347, 156.219, 0.992344, 153.563, 0.987642, 163.907, 0.985772, 154.262, 0.993920,1
    38,01/31/2021 00:33:58,31,283.857, 169.722, 0.986937, 173.594, 0.991700, 190.256, 0.981011, 162.667, 0.818033, 161.878, 0.827559, 172.725, 0.989760, 173.377, 0.999462, 170.322, 0.998314, 166.966, 0.992630, 162.757, 0.999168, 156.159, 0.995346, 158.284, 0.994613, 153.297, 0.998850, 152.759, 0.993636, 149.051, 0.997255, 147.866, 0.998913, 155.196, 0.991618, 157.142, 0.996190, 154.086, 0.990402, 164.581, 0.996382, 154.931, 0.999764,1
    39,01/31/2021 00:35:42,31,283.829, 169.622, 0.990081, 174.159, 0.990517, 189.925, 0.981654, 162.285, 0.821790, 161.660, 0.831107, 172.338, 0.992620, 173.781, 0.996825, 170.162, 0.999314, 167.150, 0.987867, 162.924, 0.997615, 155.970, 0.997075, 158.156, 0.997660, 153.426, 0.998820, 153.096, 0.992160, 149.310, 0.998488, 147.675, 0.998678, 155.505, 0.989966, 156.916, 0.993808, 153.971, 0.992041, 164.421, 0.998186, 154.905, 0.999850,1
    40,01/31/2021 00:37:26,31,283.805, 169.831, 0.990301, 173.926, 0.993523, 190.114, 0.982785, 162.957, 0.812630, 161.799, 0.830694, 172.318, 0.993050, 173.813, 0.996863, 170.362, 0.999482, 166.918, 0.992754, 163.222, 0.997962, 155.870, 0.997864, 158.162, 0.996874, 153.149, 0.997768, 152.589, 0.992745, 148.740, 0.994336, 147.366, 0.998756, 154.955, 0.980534, 157.037, 0.994358, 154.120, 0.991908, 164.621, 0.997596, 155.380, 0.999772,1
    41,01/31/2021 00:39:10,31,283.787, 169.987, 0.991642, 174.549, 0.987788, 190.338, 0.973169, 162.532, 0.810292, 161.754, 0.824424, 172.347, 0.992015, 174.166, 0.998543, 170.162, 0.999775, 167.272, 0.992146, 162.859, 0.997532, 156.109, 0.995046, 158.158, 0.993253, 153.423, 0.998548, 152.896, 0.990083, 149.368, 0.992707, 147.940, 0.998687, 155.391, 0.986798, 157.205, 0.992472, 154.427, 0.984594, 164.617, 0.993625, 155.250, 0.999571,1
    42,01/31/2021 00:40:54,31,283.769, 169.926, 0.985699, 174.171, 0.993177, 189.809, 0.984797, 162.523, 0.813189, 161.657, 0.817732, 172.562, 0.990713, 173.818, 0.999307, 170.198, 0.998449, 167.235, 0.985751, 162.958, 0.996836, 156.218, 0.994899, 158.220, 0.988988, 153.524, 0.993742, 153.151, 0.983135, 149.207, 0.991366, 147.789, 0.998367, 155.168, 0.986862, 157.186, 0.991912, 154.509, 0.991168, 164.821, 0.990679, 155.292, 0.999062,1
    43,01/31/2021 00:42:38,31,283.755, 169.718, 0.987816, 174.048, 0.989673, 190.193, 0.984937, 162.229, 0.824066, 161.965, 0.827015, 172.156, 0.990827, 173.839, 0.998833, 170.416, 0.998654, 166.735, 0.991915, 162.717, 0.996849, 155.849, 0.994201, 157.924, 0.994528, 153.386, 0.997979, 152.505, 0.992266, 148.966, 0.993465, 147.492, 0.998362, 155.056, 0.988257, 156.770, 0.994926, 154.082, 0.986268, 164.183, 0.993408, 154.952, 0.998293,1
    44,01/31/2021 00:44:21,31,283.740, 169.366, 0.988421, 173.787, 0.989432, 189.599, 0.980313, 162.295, 0.833202, 161.181, 0.830136, 172.273, 0.994425, 173.434, 0.999079, 169.934, 0.999409, 166.805, 0.990649, 162.436, 0.997648, 155.460, 0.997136, 157.761, 0.994551, 153.028, 0.997401, 152.410, 0.991285, 148.385, 0.993374, 147.476, 0.999219, 154.686, 0.985888, 156.356, 0.995292, 153.836, 0.991012, 164.070, 0.991626, 154.383, 0.999823,1
    45,01/31/2021 00:46:04,31,283.711, 169.477, 0.989462, 173.888, 0.991542, 189.580, 0.981354, 162.546, 0.809670, 161.347, 0.832904, 172.354, 0.993824, 173.365, 0.997794, 170.056, 0.998840, 167.190, 0.988278, 162.491, 0.998217, 155.890, 0.995407, 158.043, 0.990751, 153.057, 0.995334, 152.428, 0.988575, 148.821, 0.989615, 147.701, 0.997200, 154.970, 0.979710, 156.879, 0.991368, 153.897, 0.987642, 164.525, 0.993495, 154.824, 0.999724,1
    46,01/31/2021 00:47:49,31,283.689, 169.797, 0.985996, 174.373, 0.989390, 190.403, 0.989722, 162.419, 0.816881, 161.749, 0.820284, 172.627, 0.990697, 173.767, 0.995815, 170.619, 0.998652, 167.515, 0.992685, 163.086, 0.997322, 156.153, 0.993516, 158.297, 0.992472, 153.482, 0.999040, 152.922, 0.990108, 149.318, 0.989130, 147.616, 0.996828, 155.042, 0.985679, 156.997, 0.990432, 154.244, 0.985096, 164.820, 0.992941, 155.103, 0.998350,1
    47,01/31/2021 00:49:33,31,283.672, 169.851, 0.986294, 174.724, 0.984440, 190.471, 0.990618, 162.825, 0.805094, 161.942, 0.823922, 172.899, 0.989145, 173.817, 0.996914, 170.817, 0.998273, 167.785, 0.985277, 163.226, 0.996979, 156.315, 0.995644, 158.471, 0.993130, 153.589, 0.995205, 153.297, 0.986002, 149.445, 0.988111, 148.147, 0.995365, 155.456, 0.974086, 157.396, 0.991565, 154.588, 0.974175, 165.073, 0.986994, 155.364, 0.996378,1
    48,01/31/2021 00:53:00,31,283.632, 169.634, 0.988144, 174.340, 0.988399, 190.197, 0.988697, 162.613, 0.813739, 161.635, 0.825313, 172.230, 0.991830, 173.926, 0.997151, 170.369, 0.999577, 167.170, 0.994829, 163.266, 0.997508, 155.954, 0.997168, 158.180, 0.995120, 153.441, 0.999471, 152.698, 0.993948, 149.134, 0.998244, 147.715, 0.998737, 155.335, 0.988172, 157.145, 0.994868, 154.049, 0.994078, 164.559, 0.997328, 154.865, 0.999329,1
    49,01/31/2021 00:54:44,31,283.633, 169.445, 0.991238, 173.891, 0.986929, 189.549, 0.987048, 162.290, 0.824036, 161.450, 0.829730, 171.896, 0.990307, 173.505, 0.994309, 169.885, 0.999092, 166.759, 0.991361, 162.599, 0.998021, 155.467, 0.997044, 158.145, 0.997047, 152.899, 0.999006, 152.289, 0.995187, 148.618, 0.993711, 147.381, 0.997993, 154.794, 0.986373, 156.535, 0.995976, 153.710, 0.985915, 164.428, 0.995970, 154.622, 0.999793,1
    50,01/31/2021 00:56:28,31,283.626, 169.779, 0.985099, 174.203, 0.993174, 189.904, 0.990503, 162.497, 0.818477, 161.922, 0.817268, 172.271, 0.990404, 173.589, 0.997340, 170.246, 0.999893, 166.832, 0.990922, 162.612, 0.996058, 155.965, 0.995987, 158.025, 0.992356, 153.236, 0.996879, 152.745, 0.987329, 148.855, 0.993892, 147.396, 0.997443, 155.151, 0.983694, 156.960, 0.993280, 154.240, 0.986967, 164.600, 0.996926, 155.034, 0.999482,1
    51,01/31/2021 00:58:12,31,283.615, 169.750, 0.988033, 173.740, 0.989460, 190.019, 0.981904, 162.330, 0.817161, 161.528, 0.827446, 171.875, 0.991080, 173.298, 0.998456, 170.122, 0.999136, 166.946, 0.992946, 162.928, 0.997264, 155.561, 0.996883, 157.939, 0.995446, 152.954, 0.998401, 152.429, 0.992658, 148.850, 0.993707, 147.430, 0.997714, 154.940, 0.984779, 156.809, 0.996226, 154.153, 0.988721, 164.654, 0.993310, 154.981, 0.999589,1
    52,01/31/2021 00:59:56,31,283.600, 170.131, 0.984143, 174.188, 0.986873, 190.339, 0.976111, 162.800, 0.811678, 162.149, 0.818745, 172.630, 0.987645, 173.899, 0.998562, 170.640, 0.998514, 167.303, 0.991233, 162.753, 0.996810, 156.080, 0.993810, 158.399, 0.991745, 153.515, 0.993561, 152.978, 0.989102, 149.309, 0.993992, 147.878, 0.997924, 155.255, 0.984452, 157.350, 0.992105, 154.163, 0.988687, 164.726, 0.992153, 155.038, 0.999607,1
    53,01/31/2021 01:01:40,31,283.606, 169.568, 0.979769, 174.199, 0.984170, 190.058, 0.975242, 162.384, 0.821433, 161.869, 0.835618, 172.440, 0.979994, 173.572, 0.994303, 170.264, 0.995530, 166.975, 0.979986, 163.002, 0.995831, 155.974, 0.990684, 158.061, 0.982997, 153.236, 0.989370, 152.520, 0.975761, 148.705, 0.986749, 147.769, 0.996087, 155.141, 0.981536, 157.238, 0.987679, 154.059, 0.987339, 164.489, 0.992494, 154.867, 0.997993,1
    54,01/31/2021 01:03:24,31,283.612, 169.354, 0.989078, 174.094, 0.990680, 189.547, 0.979415, 162.180, 0.837896, 161.841, 0.828362, 172.123, 0.990320, 173.333, 0.998259, 170.188, 0.998319, 166.930, 0.985982, 162.649, 0.998686, 155.575, 0.993133, 157.859, 0.992244, 153.189, 0.995551, 152.561, 0.987868, 148.736, 0.994962, 147.459, 0.998527, 154.639, 0.993434, 156.577, 0.996158, 153.879, 0.993098, 164.220, 0.993811, 154.626, 0.998731,1
    55,01/31/2021 01:05:09,31,283.599, 170.003, 0.990530, 174.404, 0.990848, 189.888, 0.981034, 162.730, 0.812302, 162.001, 0.823883, 172.368, 0.993371, 173.669, 0.999780, 170.537, 0.999167, 167.276, 0.985304, 163.154, 0.997718, 156.111, 0.997374, 158.334, 0.993665, 153.535, 0.997913, 152.911, 0.992833, 149.404, 0.995889, 147.891, 0.998708, 155.309, 0.986955, 157.044, 0.993749, 154.459, 0.987054, 164.822, 0.994654, 155.221, 0.999737,1
    56,01/31/2021 01:06:53,31,283.582, 170.092, 0.984654, 173.860, 0.988328, 190.571, 0.981958, 162.787, 0.810200, 161.778, 0.824735, 172.130, 0.993731, 173.808, 0.997534, 170.279, 0.999344, 167.081, 0.992979, 162.966, 0.998081, 156.076, 0.996890, 158.100, 0.994865, 153.586, 0.998025, 152.821, 0.995335, 149.201, 0.995214, 147.735, 0.998837, 155.080, 0.984543, 157.109, 0.993750, 154.514, 0.994013, 164.609, 0.992668, 154.860, 0.999737,1
    57,01/31/2021 01:08:37,31,283.551, 169.771, 0.991925, 174.238, 0.994689, 190.200, 0.982527, 162.732, 0.819535, 161.750, 0.839229, 172.494, 0.992589, 173.622, 0.999755, 170.097, 0.998002, 166.972, 0.987965, 163.341, 0.999641, 156.107, 0.996968, 158.082, 0.998408, 153.617, 0.995378, 152.729, 0.995125, 148.775, 0.995988, 147.613, 0.998958, 155.085, 0.987526, 156.890, 0.996562, 154.243, 0.991709, 164.714, 0.997985, 154.992, 0.999409,1
